time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-24 00:00:00+00:00,8,4,48,4
2023-02-25 00:00:00+00:00,14,5,139,3
2023-02-26 00:00:00+00:00,19,5,303,4
2023-02-27 00:00:00+00:00,8,3,190,8
2023-02-28 00:00:00+00:00,18,4,255,4
2023-03-01 00:00:00+00:00,2,1,105,8
2023-03-02 00:00:00+00:00,10,6,71,6
2023-03-03 00:00:00+00:00,2,2,37,7
2023-03-04 00:00:00+00:00,20,5,126,6
2023-03-05 00:00:00+00:00,17,5,38,6
2023-03-06 00:00:00+00:00,5,4,62,5
2023-03-07 00:00:00+00:00,5,3,51,5
2023-03-08 00:00:00+00:00,3,1,96,5
2023-03-09 00:00:00+00:00,13,7,28,4
