time_iso8601,forks_cumulative
2022-05-03 00:00:00+00:00,1
2022-06-26 00:00:00+00:00,2
2022-08-11 00:00:00+00:00,3
2022-10-15 00:00:00+00:00,4
2022-11-06 00:00:00+00:00,5
2022-11-14 00:00:00+00:00,6
2022-11-15 00:00:00+00:00,7
2022-11-26 00:00:00+00:00,8
2022-11-28 00:00:00+00:00,9
2022-11-30 00:00:00+00:00,10
2022-12-04 00:00:00+00:00,14
2022-12-11 00:00:00+00:00,15
2022-12-22 00:00:00+00:00,16
2022-12-23 00:00:00+00:00,17
2022-12-25 00:00:00+00:00,18
2023-01-02 00:00:00+00:00,19
2023-01-03 00:00:00+00:00,20
2023-01-06 00:00:00+00:00,21
2023-01-13 00:00:00+00:00,22
2023-01-18 00:00:00+00:00,26
2023-01-23 00:00:00+00:00,27
2023-01-28 00:00:00+00:00,28
2023-02-02 00:00:00+00:00,30
2023-02-22 00:00:00+00:00,31
2023-02-26 00:00:00+00:00,32
2023-04-03 00:00:00+00:00,33
2023-04-11 00:00:00+00:00,34
2023-04-12 00:00:00+00:00,35
2023-04-17 00:00:00+00:00,36
2023-05-19 00:00:00+00:00,37
2023-05-23 00:00:00+00:00,38
2023-05-31 00:00:00+00:00,39
2023-07-03 00:00:00+00:00,40
2023-09-16 00:00:00+00:00,41
2023-09-18 00:00:00+00:00,42
