time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,20,9,205,28
2023-03-02 00:00:00+00:00,24,12,108,25
2023-03-03 00:00:00+00:00,18,5,173,19
2023-03-04 00:00:00+00:00,32,5,81,13
2023-03-05 00:00:00+00:00,36,5,102,19
2023-03-06 00:00:00+00:00,42,7,184,35
2023-03-07 00:00:00+00:00,5,2,102,15
2023-03-08 00:00:00+00:00,10,5,183,26
2023-03-09 00:00:00+00:00,21,6,192,20
2023-03-10 00:00:00+00:00,31,6,125,15
2023-03-11 00:00:00+00:00,16,7,106,21
2023-03-12 00:00:00+00:00,55,5,52,13
2023-03-13 00:00:00+00:00,27,5,60,21
2023-03-14 00:00:00+00:00,2,2,17,13
