time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-27 00:00:00+00:00,0,0,25,5
2022-12-28 00:00:00+00:00,17,2,111,10
2022-12-29 00:00:00+00:00,62,8,211,14
2022-12-30 00:00:00+00:00,27,6,327,16
2022-12-31 00:00:00+00:00,8,4,220,47
2023-01-01 00:00:00+00:00,0,0,65,14
2023-01-02 00:00:00+00:00,24,4,119,12
2023-01-03 00:00:00+00:00,65,16,248,12
2023-01-04 00:00:00+00:00,29,8,185,12
2023-01-05 00:00:00+00:00,26,2,221,15
2023-01-06 00:00:00+00:00,22,5,174,14
2023-01-07 00:00:00+00:00,2,2,67,11
2023-01-08 00:00:00+00:00,9,5,141,11
2023-01-09 00:00:00+00:00,6,4,103,9
2023-01-10 00:00:00+00:00,7,2,110,10
2023-01-11 00:00:00+00:00,65,8,203,15
2023-01-12 00:00:00+00:00,17,5,225,64
2023-01-13 00:00:00+00:00,25,5,81,14
2023-01-14 00:00:00+00:00,2,1,55,14
2023-01-15 00:00:00+00:00,2,2,63,11
2023-01-16 00:00:00+00:00,19,4,207,17
2023-01-17 00:00:00+00:00,58,6,321,19
2023-01-18 00:00:00+00:00,71,8,656,85
2023-01-19 00:00:00+00:00,57,6,251,25
2023-01-20 00:00:00+00:00,16,3,139,14
2023-01-21 00:00:00+00:00,1,1,124,22
2023-01-22 00:00:00+00:00,2,2,48,18
2023-01-23 00:00:00+00:00,2,2,59,13
2023-01-24 00:00:00+00:00,5,2,21,7
2023-01-25 00:00:00+00:00,3,3,33,12
2023-01-26 00:00:00+00:00,0,0,45,12
2023-01-27 00:00:00+00:00,2,2,40,8
2023-01-28 00:00:00+00:00,140,6,303,21
2023-01-29 00:00:00+00:00,124,8,377,25
2023-01-30 00:00:00+00:00,67,8,284,21
2023-01-31 00:00:00+00:00,11,5,234,19
2023-02-01 00:00:00+00:00,96,6,381,15
2023-02-02 00:00:00+00:00,13,7,475,48
2023-02-03 00:00:00+00:00,71,5,351,33
2023-02-04 00:00:00+00:00,16,7,102,11
2023-02-05 00:00:00+00:00,37,6,227,11
2023-02-06 00:00:00+00:00,96,11,321,16
2023-02-07 00:00:00+00:00,16,7,165,22
2023-02-08 00:00:00+00:00,88,11,322,13
2023-02-09 00:00:00+00:00,30,3,253,22
2023-02-10 00:00:00+00:00,30,7,344,77
2023-02-11 00:00:00+00:00,5,5,85,15
2023-02-12 00:00:00+00:00,39,5,130,17
2023-02-13 00:00:00+00:00,81,10,369,39
2023-02-14 00:00:00+00:00,38,6,350,20
2023-02-15 00:00:00+00:00,39,7,317,21
2023-02-16 00:00:00+00:00,26,6,243,16
2023-02-17 00:00:00+00:00,133,7,421,15
2023-02-18 00:00:00+00:00,26,4,84,11
2023-02-19 00:00:00+00:00,192,5,320,18
2023-02-20 00:00:00+00:00,48,9,149,13
2023-02-21 00:00:00+00:00,64,5,547,199
2023-02-22 00:00:00+00:00,26,6,538,102
2023-02-23 00:00:00+00:00,32,8,370,35
2023-02-24 00:00:00+00:00,8,7,148,26
2023-02-25 00:00:00+00:00,6,2,52,15
2023-02-26 00:00:00+00:00,17,5,161,17
2023-02-27 00:00:00+00:00,61,5,265,34
2023-02-28 00:00:00+00:00,65,6,211,26
2023-03-01 00:00:00+00:00,20,9,205,28
2023-03-02 00:00:00+00:00,24,12,108,25
2023-03-03 00:00:00+00:00,18,5,173,19
2023-03-04 00:00:00+00:00,32,5,81,13
