time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-13 00:00:00+00:00,4,4,10,4
2024-02-14 00:00:00+00:00,2,2,5,3
2024-02-15 00:00:00+00:00,3,3,7,5
2024-02-16 00:00:00+00:00,2,2,8,4
2024-02-17 00:00:00+00:00,2,2,6,5
2024-02-18 00:00:00+00:00,2,2,2,2
2024-02-19 00:00:00+00:00,4,4,3,3
2024-02-20 00:00:00+00:00,3,3,2,2
2024-02-21 00:00:00+00:00,5,5,32,4
2024-02-22 00:00:00+00:00,2,2,6,4
2024-02-23 00:00:00+00:00,4,4,5,3
2024-02-24 00:00:00+00:00,12,9,24,5
2024-02-25 00:00:00+00:00,3,3,11,4
2024-02-26 00:00:00+00:00,7,6,21,1
